Métamodèle 1	Élément 1	Description Élément 1	Métamodèle 2	Élément 2	Description Élément 2	Correspondance
UML Class Diagram	Multiplicity	Defines how many instances can be related	ERD	Cardinality	Defines the number of instances in a relationship	1
BPMN	Task	A unit of work in a process	Flowchart	Process	A series of steps in a procedure	1
BPMN	Task	A unit of work in a process	Flowchart	Start/End Symbol	The beginning or end of a process	0
BPMN	Task	A unit of work in a process	Flowchart	Decision	A branching point in a flowchart	0
BPMN	Task	A unit of work in a process	Flowchart	Connector	A line connecting steps	0
BPMN	Event	Something that happens during a process	Flowchart	Process	A series of steps in a procedure	0
BPMN	Event	Something that happens during a process	Flowchart	Start/End Symbol	The beginning or end of a process	1
BPMN	Event	Something that happens during a process	Flowchart	Decision	A branching point in a flowchart	0
BPMN	Event	Something that happens during a process	Flowchart	Connector	A line connecting steps	0
BPMN	Gateway	A decision point in a process	Flowchart	Process	A series of steps in a procedure	0
BPMN	Gateway	A decision point in a process	Flowchart	Start/End Symbol	The beginning or end of a process	0
BPMN	Gateway	A decision point in a process	Flowchart	Decision	A branching point in a flowchart	1
BPMN	Gateway	A decision point in a process	Flowchart	Connector	A line connecting steps	0
BPMN	Sequence Flow	Defines the order of tasks	Flowchart	Process	A series of steps in a procedure	0
BPMN	Sequence Flow	Defines the order of tasks	Flowchart	Start/End Symbol	The beginning or end of a process	0
BPMN	Sequence Flow	Defines the order of tasks	Flowchart	Decision	A branching point in a flowchart	0
BPMN	Sequence Flow	Defines the order of tasks	Flowchart	Connector	A line connecting steps	1
BPMN	Pool	A major participant in the process	Flowchart	Process	A series of steps in a procedure	0
BPMN	Pool	A major participant in the process	Flowchart	Start/End Symbol	The beginning or end of a process	0
BPMN	Pool	A major participant in the process	Flowchart	Decision	A branching point in a flowchart	0
BPMN	Pool	A major participant in the process	Flowchart	Connector	A line connecting steps	1
Database Schema	Table	A collection of related data entries	JSON Schema	Object	A collection of key-value pairs	1
Database Schema	Table	A collection of related data entries	JSON Schema	Property	A field in an object	0
Database Schema	Table	A collection of related data entries	JSON Schema	Type	The type of data stored in a property	0
Database Schema	Table	A collection of related data entries	JSON Schema	Required	Indicates if a property is required	0
Database Schema	Column	A field in a table	JSON Schema	Object	A collection of key-value pairs	0
Database Schema	Column	A field in a table	JSON Schema	Property	A field in an object	1
Database Schema	Column	A field in a table	JSON Schema	Type	The type of data stored in a property	0
Database Schema	Column	A field in a table	JSON Schema	Required	Indicates if a property is required	0
Database Schema	Data Type	The type of data stored in a column	JSON Schema	Object	A collection of key-value pairs	0
Database Schema	Data Type	The type of data stored in a column	JSON Schema	Property	A field in an object	0
Database Schema	Data Type	The type of data stored in a column	JSON Schema	Type	The type of data stored in a property	1
Database Schema	Data Type	The type of data stored in a column	JSON Schema	Required	Indicates if a property is required	0
Database Schema	Primary Key	A unique identifier for table rows	JSON Schema	Object	A collection of key-value pairs	0
Database Schema	Primary Key	A unique identifier for table rows	JSON Schema	Property	A field in an object	0
Database Schema	Primary Key	A unique identifier for table rows	JSON Schema	Type	The type of data stored in a property	0
Database Schema	Primary Key	A unique identifier for table rows	JSON Schema	Required	Indicates if a property is required	1
Database Schema	Foreign Key	A reference to another table	JSON Schema	Object	A collection of key-value pairs	0
Database Schema	Foreign Key	A reference to another table	JSON Schema	Property	A field in an object	0
Database Schema	Foreign Key	A reference to another table	JSON Schema	Type	The type of data stored in a property	0
Database Schema	Foreign Key	A reference to another table	JSON Schema	Required	Indicates if a property is required	0
ArchiMate	Business Actor	An entity that has a role in a business	TOGAF	Role	A set of responsibilities and tasks	1
ArchiMate	Business Actor	An entity that has a role in a business	TOGAF	Application	A software solution or component	0
ArchiMate	Business Actor	An entity that has a role in a business	TOGAF	Technology	The technological components used	0
ArchiMate	Business Actor	An entity that has a role in a business	TOGAF	Business Function	A group of related business activities	0
ArchiMate	Application Component	A software component in the architecture	TOGAF	Role	A set of responsibilities and tasks	0
ArchiMate	Application Component	A software component in the architecture	TOGAF	Application	A software solution or component	1
ArchiMate	Application Component	A software component in the architecture	TOGAF	Technology	The technological components used	0
ArchiMate	Application Component	A software component in the architecture	TOGAF	Business Function	A group of related business activities	0
ArchiMate	Technology Node	A physical or virtual IT infrastructure	TOGAF	Role	A set of responsibilities and tasks	0
ArchiMate	Technology Node	A physical or virtual IT infrastructure	TOGAF	Application	A software solution or component	0
ArchiMate	Technology Node	A physical or virtual IT infrastructure	TOGAF	Technology	The technological components used	1
ArchiMate	Technology Node	A physical or virtual IT infrastructure	TOGAF	Business Function	A group of related business activities	0
ArchiMate	Business Process	A sequence of business activities	TOGAF	Role	A set of responsibilities and tasks	0
ArchiMate	Business Process	A sequence of business activities	TOGAF	Application	A software solution or component	0
ArchiMate	Business Process	A sequence of business activities	TOGAF	Technology	The technological components used	0
ArchiMate	Business Process	A sequence of business activities	TOGAF	Business Function	A group of related business activities	1
ArchiMate	Data Object	A representation of data used in the architecture	TOGAF	Role	A set of responsibilities and tasks	0
ArchiMate	Data Object	A representation of data used in the architecture	TOGAF	Application	A software solution or component	0
ArchiMate	Data Object	A representation of data used in the architecture	TOGAF	Technology	The technological components used	0
ArchiMate	Data Object	A representation of data used in the architecture	TOGAF	Business Function	A group of related business activities	0
ArchiMate	Data Object	A representation of data used in the architecture	TOGAF	Data Entity	A representation of data in the system	1
Python	Class	A blueprint for creating objects	SQL	Table	A collection of related data entries	1
Python	Class	A blueprint for creating objects	SQL	Column	A field in a table	0
Python	Class	A blueprint for creating objects	SQL	Stored Procedure	A precompiled collection of SQL statements	0
Python	Class	A blueprint for creating objects	SQL	Schema	A structure that organizes database objects	0
Python	Class	A blueprint for creating objects	SQL	Row	A single data entry in a table	0
Python	Attribute	A variable associated with a class	SQL	Table	A collection of related data entries	0
Python	Attribute	A variable associated with a class	SQL	Column	A field in a table	1
Python	Attribute	A variable associated with a class	SQL	Stored Procedure	A precompiled collection of SQL statements	0
Python	Attribute	A variable associated with a class	SQL	Schema	A structure that organizes database objects	0
Python	Attribute	A variable associated with a class	SQL	Row	A single data entry in a table	0
Python	Method	A function defined within a class	SQL	Table	A collection of related data entries	0
Python	Method	A function defined within a class	SQL	Column	A field in a table	0
Python	Method	A function defined within a class	SQL	Stored Procedure	A precompiled collection of SQL statements	1
Python	Method	A function defined within a class	SQL	Schema	A structure that organizes database objects	0
Python	Method	A function defined within a class	SQL	Row	A single data entry in a table	0
Python	Module	A file containing Python code	SQL	Table	A collection of related data entries	0
Python	Module	A file containing Python code	SQL	Column	A field in a table	0
Python	Module	A file containing Python code	SQL	Stored Procedure	A precompiled collection of SQL statements	0
Python	Module	A file containing Python code	SQL	Schema	A structure that organizes database objects	1
Python	Module	A file containing Python code	SQL	Row	A single data entry in a table	0
Python	List	A collection of items	SQL	Table	A collection of related data entries	0
Python	List	A collection of items	SQL	Column	A field in a table	0
Python	List	A collection of items	SQL	Stored Procedure	A precompiled collection of SQL statements	0
Python	List	A collection of items	SQL	Schema	A structure that organizes database objects	0
Python	List	A collection of items	SQL	Row	A single data entry in a table	1
C#	Class	A blueprint for creating objects	SQL	Table	A collection of related data entries	1
C#	Class	A blueprint for creating objects	SQL	Column	A field in a table	0
C#	Class	A blueprint for creating objects	SQL	Stored Procedure	A precompiled collection of SQL statements	0
C#	Class	A blueprint for creating objects	SQL	Schema	A structure that organizes database objects	0
C#	Class	A blueprint for creating objects	SQL	Row	A single data entry in a table	0
C#	Property	A member that provides a flexible mechanism	SQL	Table	A collection of related data entries	0
C#	Property	A member that provides a flexible mechanism	SQL	Column	A field in a table	1
C#	Property	A member that provides a flexible mechanism	SQL	Stored Procedure	A precompiled collection of SQL statements	0
C#	Property	A member that provides a flexible mechanism	SQL	Schema	A structure that organizes database objects	0
C#	Property	A member that provides a flexible mechanism	SQL	Row	A single data entry in a table	0
C#	Method	A block of code that defines behavior	SQL	Table	A collection of related data entries	0
C#	Method	A block of code that defines behavior	SQL	Column	A field in a table	0
C#	Method	A block of code that defines behavior	SQL	Stored Procedure	A precompiled collection of SQL statements	1
C#	Method	A block of code that defines behavior	SQL	Schema	A structure that organizes database objects	0
C#	Method	A block of code that defines behavior	SQL	Row	A single data entry in a table	0
C#	Namespace	A container for classes and other namespaces	SQL	Table	A collection of related data entries	0
C#	Namespace	A container for classes and other namespaces	SQL	Column	A field in a table	0
C#	Namespace	A container for classes and other namespaces	SQL	Stored Procedure	A precompiled collection of SQL statements	0
C#	Namespace	A container for classes and other namespaces	SQL	Schema	A structure that organizes database objects	1
C#	Namespace	A container for classes and other namespaces	SQL	Row	A single data entry in a table	0
C#	Interface	A contract that defines a set of methods	SQL	Table	A collection of related data entries	0
C#	Interface	A contract that defines a set of methods	SQL	Column	A field in a table	0
C#	Interface	A contract that defines a set of methods	SQL	Stored Procedure	A precompiled collection of SQL statements	0
C#	Interface	A contract that defines a set of methods	SQL	Schema	A structure that organizes database objects	0
C#	Interface	A contract that defines a set of methods	SQL	Row	A single data entry in a table	1
Java	Class	A blueprint for creating objects	Python	Class	A blueprint for creating objects	1
Java	Class	A blueprint for creating objects	Python	Method	A function defined within a class	0
Java	Class	A blueprint for creating objects	Python	Attribute	A variable associated with a class	0
Java	Class	A blueprint for creating objects	Python	Module	A file containing Python code	0
Java	Class	A blueprint for creating objects	Python	Interface	A contract that defines a set of methods	0
Java	Method	A block of code that defines behavior	Python	Method	A function defined within a class	1
Java	Method	A block of code that defines behavior	Python	Attribute	A variable associated with a class	0
Java	Field	A variable associated with a class	Python	Attribute	A variable associated with a class	1
Java	Package	A namespace that organizes a set of classes	Python	Module	A file containing Python code	1
Java	Interface	A contract that defines a set of methods	Python	Interface	A contract that defines a set of methods	1
JavaScript	Variable	A container for storing data	SQL	Column	A field in a table	1
JavaScript	Variable	A container for storing data	SQL	Stored Procedure	A precompiled collection of SQL statements	0
JavaScript	Variable	A container for storing data	SQL	Table	A collection of related data entries	0
JavaScript	Variable	A container for storing data	SQL	Row	A single data entry in a table	0
JavaScript	Function	A block of code designed to perform a task	SQL	Column	A field in a table	0
JavaScript	Function	A block of code designed to perform a task	SQL	Stored Procedure	A precompiled collection of SQL statements	1
JavaScript	Function	A block of code designed to perform a task	SQL	Table	A collection of related data entries	0
JavaScript	Function	A block of code designed to perform a task	SQL	Row	A single data entry in a table	0
JavaScript	Object	A collection of properties	SQL	Column	A field in a table	0
JavaScript	Object	A collection of properties	SQL	Stored Procedure	A precompiled collection of SQL statements	0
JavaScript	Object	A collection of properties	SQL	Table	A collection of related data entries	1
JavaScript	Object	A collection of properties	SQL	Row	A single data entry in a table	0
JavaScript	Array	A list of elements	SQL	Column	A field in a table	0
JavaScript	Array	A list of elements	SQL	Stored Procedure	A precompiled collection of SQL statements	0
JavaScript	Array	A list of elements	SQL	Table	A collection of related data entries	0
JavaScript	Array	A list of elements	SQL	Row	A single data entry in a table	1
Python	Class	A blueprint for creating objects	C++	Class	A blueprint for creating objects	1
Python	Class	A blueprint for creating objects	C++	Method	A function defined within a class	0
Python	Class	A blueprint for creating objects	C++	Member	A variable associated with a class	0
Python	Class	A blueprint for creating objects	C++	Header File	A file containing C++ declarations	0
Python	Class	A blueprint for creating objects	C++	Vector	A dynamic array	0
Python	Method	A function defined within a class	C++	Class	A blueprint for creating objects	0
Python	Method	A function defined within a class	C++	Method	A function defined within a class	1
Python	Method	A function defined within a class	C++	Member	A variable associated with a class	0
Python	Method	A function defined within a class	C++	Header File	A file containing C++ declarations	0
Python	Method	A function defined within a class	C++	Vector	A dynamic array	0
Python	Attribute	A variable associated with a class	C++	Class	A blueprint for creating objects	0
Python	Attribute	A variable associated with a class	C++	Method	A function defined within a class	0
Python	Attribute	A variable associated with a class	C++	Member	A variable associated with a class	1
Python	Attribute	A variable associated with a class	C++	Header File	A file containing C++ declarations	0
Python	Attribute	A variable associated with a class	C++	Vector	A dynamic array	0
Python	Module	A file containing Python code	C++	Class	A blueprint for creating objects	0
Python	Module	A file containing Python code	C++	Method	A function defined within a class	0
Python	Module	A file containing Python code	C++	Member	A variable associated with a class	0
Python	Module	A file containing Python code	C++	Header File	A file containing C++ declarations	0
Python	Module	A file containing Python code	C++	Vector	A dynamic array	0
Python	List	A collection of items	C++	Class	A blueprint for creating objects	0
Python	List	A collection of items	C++	Method	A function defined within a class	0
Python	List	A collection of items	C++	Member	A variable associated with a class	0
Python	List	A collection of items	C++	Header File	A file containing C++ declarations	0
Python	List	A collection of items	C++	Vector	A dynamic array	1
C++	Header File	A file containing C++ declarations	Java	Method	A block of code that defines behavior	0
C++	Header File	A file containing C++ declarations	Java	Field	A variable associated with a class	0
C++	Header File	A file containing C++ declarations	Java	Package	A namespace that organizes a set of related classes and interfaces	0
C++	Header File	A file containing C++ declarations	Java	Inheritance	Mechanism to create a new class from an existing class	0
C++	Inheritance	Mechanism to create a new class from an existing class	Java	Class	A blueprint for creating objects	0
C++	Inheritance	Mechanism to create a new class from an existing class	Java	Method	A block of code that defines behavior	0
C++	Inheritance	Mechanism to create a new class from an existing class	Java	Field	A variable associated with a class	0
C++	Inheritance	Mechanism to create a new class from an existing class	Java	Package	A namespace that organizes a set of related classes and interfaces	0
C++	Inheritance	Mechanism to create a new class from an existing class	Java	Inheritance	Mechanism to create a new class from an existing class	1
UML	Class	A blueprint for creating objects	Merise	Entity	A collection of related data entries	1
UML	Class	A blueprint for creating objects	Merise	Attribute	A field in an entity	0
UML	Class	A blueprint for creating objects	Merise	Association	A relationship between entities	0
UML	Class	A blueprint for creating objects	Merise	Specialization	Mechanism to create a new entity from an existing entity	0
UML	Class	A blueprint for creating objects	Merise	Life Cycle Diagram	A model of entity states and transitions	0
UML	Attribute	A variable associated with a class	Merise	Attribute	A field in an entity	1
UML	Attribute	A variable associated with a class	Merise	Association	A relationship between entities	0
UML	Attribute	A variable associated with a class	Merise	Specialization	Mechanism to create a new entity from an existing entity	0
UML	Attribute	A variable associated with a class	Merise	Life Cycle Diagram	A model of entity states and transitions	0
UML	Association	A relationship between classes	Merise	Entity	A collection of related data entries	0
UML	Association	A relationship between classes	Merise	Attribute	A field in an entity	0
UML	Association	A relationship between classes	Merise	Association	A relationship between entities	1
UML	Association	A relationship between classes	Merise	Specialization	Mechanism to create a new entity from an existing entity	0
UML	Association	A relationship between classes	Merise	Life Cycle Diagram	A model of entity states and transitions	0
UML	Inheritance	Mechanism to create a new class from an existing class	Merise	Specialization	Mechanism to create a new entity from an existing entity	1
UML	Inheritance	Mechanism to create a new class from an existing class	Merise	Entity	A collection of related data entries	0
UML	Inheritance	Mechanism to create a new class from an existing class	Merise	Attribute	A field in an entity	0
UML	Inheritance	Mechanism to create a new class from an existing class	Merise	Association	A relationship between entities	0
UML	Inheritance	Mechanism to create a new class from an existing class	Merise	Life Cycle Diagram	A model of entity states and transitions	0
UML	State Machine Diagram	A model of system states and transitions	Merise	Life Cycle Diagram	A model of entity states and transitions	1
UML	State Machine Diagram	A model of system states and transitions	Merise	Entity	A collection of related data entries	0
UML	State Machine Diagram	A model of system states and transitions	Merise	Attribute	A field in an entity	0
UML	State Machine Diagram	A model of system states and transitions	Merise	Association	A relationship between entities	0
UML	State Machine Diagram	A model of system states and transitions	Merise	Specialization	Mechanism to create a new entity from an existing entity	0
UML	Class	A blueprint for creating objects	ERD	Entity	A collection of related data entries	1
UML	Class	A blueprint for creating objects	ERD	Attribute	A field in an entity	0
UML	Class	A blueprint for creating objects	ERD	Relationship	A relationship between entities	0
UML	Class	A blueprint for creating objects	ERD	Subtype	Mechanism to create a new entity from an existing entity	0
UML	Class	A blueprint for creating objects	ERD	State Diagram	A model of entity states and transitions	0
UML	Attribute	A variable associated with a class	ERD	Attribute	A field in an entity	1
UML	Attribute	A variable associated with a class	ERD	Relationship	A relationship between entities	0
UML	Attribute	A variable associated with a class	ERD	Subtype	Mechanism to create a new entity from an existing entity	0
UML	Attribute	A variable associated with a class	ERD	State Diagram	A model of entity states and transitions	0
UML	Association	A relationship between classes	ERD	Entity	A collection of related data entries	0
UML	Association	A relationship between classes	ERD	Attribute	A field in an entity	0
UML	Association	A relationship between classes	ERD	Relationship	A relationship between entities	1
UML	Association	A relationship between classes	ERD	Subtype	Mechanism to create a new entity from an existing entity	0
UML	Association	A relationship between classes	ERD	State Diagram	A model of entity states and transitions	0
UML	Inheritance	Mechanism to create a new class from an existing class	ERD	Subtype	Mechanism to create a new entity from an existing entity	1
UML	Inheritance	Mechanism to create a new class from an existing class	ERD	Entity	A collection of related data entries	0
UML	Inheritance	Mechanism to create a new class from an existing class	ERD	Attribute	A field in an entity	0
UML	Inheritance	Mechanism to create a new class from an existing class	ERD	Relationship	A relationship between entities	0
UML	Inheritance	Mechanism to create a new class from an existing class	ERD	State Diagram	A model of entity states and transitions	0
UML	State Machine Diagram	A model of system states and transitions	ERD	State Diagram	A model of entity states and transitions	1
UML	State Machine Diagram	A model of system states and transitions	ERD	Entity	A collection of related data entries	0
UML	State Machine Diagram	A model of system states and transitions	ERD	Attribute	A field in an entity	0
UML	State Machine Diagram	A model of system states and transitions	ERD	Relationship	A relationship between entities	0
UML	State Machine Diagram	A model of system states and transitions	ERD	Subtype	Mechanism to create a new entity from an existing entity	0
Java	Class	A blueprint for creating objects	SQL	Table	A collection of related data entries	1
Java	Class	A blueprint for creating objects	SQL	Column	A field in a table	0
Java	Class	A blueprint for creating objects	SQL	Stored Procedure	A precompiled collection of SQL statements	0
Java	Class	A blueprint for creating objects	SQL	Schema	A structure that organizes database objects	0
Java	Class	A blueprint for creating objects	SQL	View	A virtual table based on the result-set of a query	0
Java	Field	A variable associated with a class	SQL	Table	A collection of related data entries	0
Java	Field	A variable associated with a class	SQL	Column	A field in a table	1
Java	Field	A variable associated with a class	SQL	Stored Procedure	A precompiled collection of SQL statements	0
Java	Field	A variable associated with a class	SQL	Schema	A structure that organizes database objects	0
Java	Field	A variable associated with a class	SQL	View	A virtual table based on the result-set of a query	0
Java	Method	A block of code that defines behavior	SQL	Table	A collection of related data entries	0
Java	Method	A block of code that defines behavior	SQL	Column	A field in a table	0
Java	Method	A block of code that defines behavior	SQL	Stored Procedure	A precompiled collection of SQL statements	1
Java	Method	A block of code that defines behavior	SQL	Schema	A structure that organizes database objects	0
Java	Method	A block of code that defines behavior	SQL	View	A virtual table based on the result-set of a query	0
Java	Package	A namespace that organizes a set of classes	SQL	Schema	A structure that organizes database objects	1
Java	Package	A namespace that organizes a set of classes	SQL	Table	A collection of related data entries	0
Java	Package	A namespace that organizes a set of classes	SQL	Column	A field in a table	0
Java	Package	A namespace that organizes a set of classes	SQL	Stored Procedure	A precompiled collection of SQL statements	0
Java	Package	A namespace that organizes a set of classes	SQL	View	A virtual table based on the result-set of a query	0
Java	Interface	A contract that defines a set of methods	SQL	View	A virtual table based on the result-set of a query	1
Java	Interface	A contract that defines a set of methods	SQL	Table	A collection of related data entries	0
Java	Interface	A contract that defines a set of methods	SQL	Column	A field in a table	0
Java	Interface	A contract that defines a set of methods	SQL	Stored Procedure	A precompiled collection of SQL statements	0
Java	Interface	A contract that defines a set of methods	SQL	Schema	A structure that organizes database objects	0
Python	Class	A blueprint for creating objects	ERD	Entity	A collection of related data entries	1
Python	Class	A blueprint for creating objects	ERD	Attribute	A field in an entity	0
Python	Class	A blueprint for creating objects	ERD	Relationship	A relationship between entities	0
Python	Class	A blueprint for creating objects	ERD	Subtype	Mechanism to create a new entity from an existing entity	0
Python	Class	A blueprint for creating objects	ERD	Set	A collection of related items	0
Python	Attribute	A variable associated with a class	ERD	Attribute	A field in an entity	1
Python	Attribute	A variable associated with a class	ERD	Relationship	A relationship between entities	0
Python	Attribute	A variable associated with a class	ERD	Subtype	Mechanism to create a new entity from an existing entity	0
Python	Attribute	A variable associated with a class	ERD	Set	A collection of related items	0
Python	Method	A function defined within a class	ERD	Entity	A collection of related data entries	0
Python	Method	A function defined within a class	ERD	Attribute	A field in an entity	0
Python	Method	A function defined within a class	ERD	Relationship	A relationship between entities	0
Python	Method	A function defined within a class	ERD	Subtype	Mechanism to create a new entity from an existing entity	0
Python	Method	A function defined within a class	ERD	Set	A collection of related items	0
Python	Inheritance	Mechanism to create a new class from an existing class	ERD	Subtype	Mechanism to create a new entity from an existing entity	1
Python	Inheritance	Mechanism to create a new class from an existing class	ERD	Entity	A collection of related data entries	0
Python	Inheritance	Mechanism to create a new class from an existing class	ERD	Attribute	A field in an entity	0
Python	Inheritance	Mechanism to create a new class from an existing class	ERD	Relationship	A relationship between entities	0
Python	Inheritance	Mechanism to create a new class from an existing class	ERD	Set	A collection of related items	0
Python	List	A collection of items	ERD	Set	A collection of related items	1
Python	List	A collection of items	ERD	Entity	A collection of related data entries	0
Python	List	A collection of items	ERD	Attribute	A field in an entity	0
Python	List	A collection of items	ERD	Relationship	A relationship between entities	0
Python	List	A collection of items	ERD	Subtype	Mechanism to create a new entity from an existing entity	0
UML	Class	A blueprint for creating objects	BPMN	Pool	A major participant in the process	1
UML	Class	A blueprint for creating objects	BPMN	Property	A property or characteristic of an object	0
UML	Class	A blueprint for creating objects	BPMN	Sequence Flow	Defines the order of tasks	0
UML	Class	A blueprint for creating objects	BPMN	Activity Diagram	A diagram showing the flow of activities	0
UML	Class	A blueprint for creating objects	BPMN	Task	A specific task within a process	0
UML	Attribute	A variable associated with a class	BPMN	Pool	A major participant in the process	0
UML	Attribute	A variable associated with a class	BPMN	Property	A property or characteristic of an object	1
UML	Attribute	A variable associated with a class	BPMN	Sequence Flow	Defines the order of tasks	0
UML	Attribute	A variable associated with a class	BPMN	Activity Diagram	A diagram showing the flow of activities	0
UML	Attribute	A variable associated with a class	BPMN	Task	A specific task within a process	0
UML	Association	A relationship between classes	BPMN	Pool	A major participant in the process	0
UML	Association	A relationship between classes	BPMN	Property	A property or characteristic of an object	0
UML	Association	A relationship between classes	BPMN	Sequence Flow	Defines the order of tasks	1
UML	Association	A relationship between classes	BPMN	Activity Diagram	A diagram showing the flow of activities	0
UML	Association	A relationship between classes	BPMN	Task	A specific task within a process	0
UML	State Machine Diagram	A model of system states and transitions	BPMN	Activity Diagram	A diagram showing the flow of activities	1
UML	State Machine Diagram	A model of system states and transitions	BPMN	Pool	A major participant in the process	0
UML	State Machine Diagram	A model of system states and transitions	BPMN	Property	A property or characteristic of an object	0
UML	State Machine Diagram	A model of system states and transitions	BPMN	Sequence Flow	Defines the order of tasks	0
UML	State Machine Diagram	A model of system states and transitions	BPMN	Task	A specific task within a process	0
UML	Activity	A unit of work within the system	BPMN	Task	A specific task within a process	1
UML	Activity	A unit of work within the system	BPMN	Pool	A major participant in the process	0
UML	Activity	A unit of work within the system	BPMN	Property	A property or characteristic of an object	0
UML	Activity	A unit of work within the system	BPMN	Sequence Flow	Defines the order of tasks	0
UML	Activity	A unit of work within the system	BPMN	Activity Diagram	A diagram showing the flow of activities	0
Python	Class	A blueprint for creating objects	Java	Class	A blueprint for creating objects	1
Python	Class	A blueprint for creating objects	Java	Method	A block of code that defines behavior	0
Python	Class	A blueprint for creating objects	Java	Field	A variable associated with a class	0
Python	Class	A blueprint for creating objects	Java	Package	A namespace that organizes a set of related classes and interfaces	0
Python	Class	A blueprint for creating objects	Java	ArrayList	A resizable array implementation	0
Python	Method	A function defined within a class	Java	Class	A blueprint for creating objects	0
Python	Method	A function defined within a class	Java	Method	A block of code that defines behavior	1
Python	Method	A function defined within a class	Java	Field	A variable associated with a class	0
Python	Method	A function defined within a class	Java	Package	A namespace that organizes a set of related classes and interfaces	0
Python	Method	A function defined within a class	Java	ArrayList	A resizable array implementation	0
